Wall time,Step,Value
1540835669.551551,1,20.259370803833008
1540835669.634053,2,18.948793411254883
1540835669.660868,3,17.577016830444336
1540835669.697073,4,16.447294235229492
1540835669.91575,5,14.622658729553223
1540835669.948036,6,13.840620994567871
1540835669.978428,7,13.186716079711914
1540835670.009278,8,12.478876113891602
1540835670.260936,9,11.33338451385498
1540835670.288402,10,10.7788724899292
1540835670.333019,10,10.7788724899292
1540835670.358597,11,10.331551551818848
1540835670.383091,12,10.068918228149414
1540835671.91108,13,7.455891132354736
1540835672.419522,14,4.986060619354248
1540835672.716736,15,4.510617733001709
1540835673.233792,16,4.215840816497803
1540835673.566476,17,4.336245536804199
1540835673.594958,18,3.951897144317627
1540835673.917184,19,3.8871524333953857
1540835673.942778,20,3.792158842086792
1540835673.982463,20,3.792158842086792
1540835674.364264,21,3.7103776931762695
1540835674.391155,22,3.6866071224212646
1540835674.427837,23,3.757760763168335
1540835674.811984,24,3.6447784900665283
1540835674.839433,25,3.6646976470947266
1540835674.868229,26,3.55043888092041
1540835675.264433,27,3.5109379291534424
1540835675.289246,28,3.538287878036499
1540835675.317647,29,3.5475270748138428
1540835675.655841,30,3.3988866806030273
1540835675.69749,30,3.3988866806030273
1540835675.725858,31,3.436011791229248
1540835675.753212,32,3.3136754035949707
1540835675.790044,33,3.329611301422119
1540835676.125328,34,3.3896188735961914
1540835676.153323,35,3.309380292892456
1540835676.181216,36,3.3999781608581543
1540835676.21108,37,3.293182611465454
1540835676.552384,38,3.37782621383667
1540835676.579223,39,3.294506311416626
1540835676.609758,40,3.5990984439849854
1540835676.982341,40,3.5990984439849854
1540835677.009634,41,3.2649261951446533
1540835677.039891,42,3.3693623542785645
1540835677.387394,43,3.422051429748535
1540835677.412775,44,3.38560152053833
1540835677.439586,45,3.406363010406494
1540835677.469935,46,3.2109198570251465
1540835677.844689,47,3.229027271270752
1540835677.872283,48,3.2160301208496094
1540835677.900874,49,3.2688074111938477
1540835678.250226,50,3.3437700271606445
1540835678.290735,50,3.3437700271606445
1540835678.322123,51,3.5036754608154297
1540835678.679257,52,3.5866622924804688
1540835678.705135,53,3.366227626800537
1540835678.732551,54,3.2442679405212402
1540835679.12171,55,3.272160768508911
1540835679.150095,56,3.1938600540161133
1540835679.179384,57,3.2457973957061768
1540835679.542319,58,3.26943302154541
1540835679.568743,59,3.426461696624756
1540835679.596735,60,3.237779140472412
1540835679.640577,60,3.237779140472412
1540835679.995138,61,3.25398850440979
1540835680.027094,62,3.2795498371124268
1540835680.058122,63,3.218024492263794
1540835680.394775,64,3.3796918392181396
1540835680.423533,65,3.318620443344116
1540835680.449123,66,3.3665246963500977
1540835680.478998,67,3.404306173324585
1540835680.510434,68,3.3358471393585205
1540835680.797169,69,3.279705047607422
1540835680.824481,70,3.287957191467285
1540835680.866301,70,3.287957191467285
1540835680.893233,71,3.464695692062378
1540835680.923968,72,3.269774913787842
1540835681.806734,73,3.1319851875305176
1540835681.840496,74,3.3246407508850098
1540835681.866786,75,3.265463352203369
1540835681.900668,76,3.1679141521453857
1540835682.284059,77,3.2787585258483887
1540835682.310374,78,3.2388486862182617
1540835682.346163,79,3.226316213607788
1540835682.690361,80,3.564143419265747
1540835682.731621,80,3.564143419265747
1540835682.756889,81,3.357457160949707
1540835682.784657,82,3.2884483337402344
1540835682.820351,83,3.1814284324645996
1540835683.098848,84,3.2226853370666504
1540835683.126082,85,3.1758201122283936
1540835683.157872,86,3.1702990531921387
1540835683.187725,87,3.1614463329315186
1540835683.480745,88,3.119657039642334
1540835683.511592,89,3.1594722270965576
1540835683.536702,90,3.185382127761841
1540835683.577168,90,3.185382127761841
1540835683.603162,91,3.1748175621032715
1540835683.634764,92,3.155994415283203
1540835683.957185,93,3.145552396774292
1540835683.984135,94,3.143263816833496
1540835684.012924,95,3.0895376205444336
1540835684.511141,96,3.0873353481292725
1540835684.544554,97,3.109609603881836
1540835684.853902,98,3.1513020992279053
1540835684.884782,99,3.1869139671325684
1540835685.210584,100,3.1144728660583496
1540835685.253247,100,3.1911189556121826
1540835685.285158,101,3.1305294036865234
1540835685.606259,102,3.1487438678741455
1540835685.639196,103,3.1767613887786865
1540835685.666783,104,3.174046516418457
1540835685.697703,105,3.1243433952331543
1540835685.726091,106,3.1850078105926514
1540835686.971862,107,3.139299154281616
1540835687.332819,108,3.1105687618255615
1540835687.359626,109,3.0609142780303955
1540835687.389213,110,3.090122938156128
1540835687.435768,110,3.090122938156128
1540835688.044382,111,3.1525378227233887
1540835688.072098,112,3.0768046379089355
1540835688.876,113,3.2047476768493652
1540835688.902286,114,3.1138288974761963
1540835688.931112,115,3.0974137783050537
1540835688.959324,116,3.070960283279419
1540835688.988742,117,3.1220295429229736
1540835689.673194,118,3.1162242889404297
1540835689.701077,119,3.073270559310913
1540835689.729075,120,3.08362078666687
1540835690.110682,120,3.1466996669769287
1540835690.135151,121,3.195195436477661
1540835690.167993,122,3.1673378944396973
1540835690.979253,123,3.166994333267212
1540835691.007417,124,3.2253329753875732
1540835691.037925,125,3.200644016265869
