Wall time,Step,Value
1540835669.511244,1,19.289098739624023
1540835669.695453,4,16.449777603149414
1540835669.947858,7,13.834728240966797
1540835670.260589,11,11.328800201416016
1540835670.382052,14,10.0626220703125
1540835671.4757,26,6.25535249710083
1540835672.408078,36,4.986060619354248
1540835672.716406,40,4.504951477050781
1540835673.232154,46,4.210968017578125
1540835673.566303,49,4.3331193923950195
1540835673.917056,52,3.8844494819641113
1540835673.998395,57,2.9496777057647705
1540835674.427489,60,3.7606263160705566
1540835674.82742,65,2.9564313888549805
1540835675.264282,68,3.5146307945251465
1540835675.64979,73,3.3988866806030273
1540835675.788357,76,3.327617883682251
1540835676.153147,79,3.3088483810424805
1540835676.552217,83,3.377136707305908
1540835676.608383,86,3.5967648029327393
1540835677.009461,89,3.2667782306671143
1540835677.387255,93,3.4221131801605225
1540835677.462187,97,3.2109198570251465
1540835677.866997,101,3.2160301208496094
1540835678.250102,105,3.343315839767456
1540835678.320502,108,3.5084946155548096
1540835678.72687,112,3.2442679405212402
1540835679.143761,116,3.1938600540161133
1540835679.541958,119,3.2685484886169434
1540835679.596202,122,3.2425687313079834
1540835680.017315,126,3.2795498371124268
1540835680.394528,129,3.375234842300415
1540835680.47863,132,3.4057445526123047
1540835680.796996,135,3.2796859741210938
1540835680.921975,138,3.269454002380371
1540835681.515064,145,3.127938747406006
1540835681.891906,149,3.1679141521453857
1540835682.31019,152,3.2344768047332764
1540835682.689971,156,3.564157247543335
1540835682.818616,159,3.1833674907684326
1540835683.145725,163,2.354180097579956
1540835683.511437,166,3.159954071044922
1540835683.633252,169,3.1614468097686768
1540835683.978522,173,3.143263816833496
1540835684.510996,178,3.092180013656616
1540835684.853737,183,3.1554174423217773
1540835685.210418,186,3.1181087493896484
1540835685.284092,189,3.1350624561309814
1540835685.666517,192,3.175480842590332
1540835686.257827,199,3.1433262825012207
1540835687.326734,207,3.1105687618255615
1540835687.387916,210,3.097923755645752
1540835688.06141,214,2.470669746398926
1540835688.875879,221,3.2084314823150635
1540835688.959173,224,3.076127052307129
1540835689.673012,228,3.1295371055603027
1540835690.078955,231,3.1477913856506348
1540835690.153209,235,2.4626893997192383
1540835690.979116,242,3.1680641174316406
1540835691.037734,245,3.203564405441284
1540835691.474485,251,2.7180533409118652
1540835692.718897,262,3.0900044441223145
1540835692.845089,265,3.125206470489502
1540835693.625606,272,3.14787220954895
1540835694.129806,275,3.0940940380096436
1540835694.674831,278,3.1622703075408936
1540835695.070331,282,3.0725812911987305
1540835695.140738,285,3.1217525005340576
1540835695.978211,292,3.106194019317627
1540835696.056989,296,3.0643694400787354
1540835696.681294,299,3.1096014976501465
1540835696.765651,302,3.0326735973358154
1540835697.805655,307,3.081145763397217
1540835698.110484,312,3.039663314819336
1540835698.474026,315,3.1027677059173584
1540835699.043274,319,3.0568323135375977
1540835699.100446,322,3.014702796936035
1540835699.48231,326,3.090651273727417
1540835699.861067,329,3.03656268119812
1540835699.922205,333,3.0302181243896484
1540835700.267039,336,3.0546233654022217
1540835700.625515,339,3.0278561115264893
1540835700.749954,342,3.0345232486724854
1540835701.197583,345,3.067408323287964
1540835701.558125,349,3.113537073135376
1540835701.687553,352,2.9902632236480713
1540835702.099098,355,3.043769121170044
1540835702.439996,358,3.0104339122772217
1540835702.528414,361,3.163140296936035
1540835702.980808,364,3.031181812286377
1540835703.086502,367,3.0322349071502686
1540835703.453046,370,3.042104959487915
1540835704.78852,385,2.3565609455108643
1540835705.038861,389,3.066990852355957
1540835705.588507,394,3.0386104583740234
1540835705.901334,399,3.11667799949646
1540835706.210753,402,3.0831515789031982
1540835706.781585,409,3.0458364486694336
1540835707.125577,413,3.1942319869995117
1540835707.523894,418,2.649409294128418
1540835707.941068,421,3.086843490600586
1540835708.534871,425,3.091683864593506
1540835708.597357,429,2.981447696685791
1540835709.493366,436,2.9868478775024414
1540835709.575632,439,3.0057990550994873
1540835710.094917,442,3.1494247913360596
1540835710.182968,445,2.998354196548462
1540835710.524719,448,3.0479838848114014
1540835710.897259,451,3.078033685684204
1540835711.027838,454,3.058952569961548
1540835711.604468,457,3.104795455932617
1540835711.682907,460,3.068999767303467
1540835712.25361,465,2.9922401905059814
