Wall time,Step,Value
1540891284.0320413,0,0.10000000149011612
1540891289.9817214,100,0.09600000083446503
1540891296.142538,200,0.09216000139713287
1540891302.0718105,300,0.08493464440107346
1540891307.9394424,400,0.08153726160526276
1540891313.845611,500,0.07514473795890808
1540891319.861315,600,0.0721389502286911
1540891326.0129685,700,0.06648325175046921
1540891332.082368,800,0.06382391601800919
1540891338.0936139,900,0.058820124715566635
1540891344.2170994,1000,0.056467313319444656
